Apoapsis,980km ,Inc,0
88.64,0,4294.14,4,0.97,48.44,62.2,28806.48,59246.67,80.28,-6303160,1,False,2,29,
89.44,0,4264.3,4,0.96,48.05,60.91,29387.88,60692.77,81.45,-6301272.12,1,False,2,29,
90.2,0,4234.48,4,0.96,47.65,59.56,29977.1,62146.3,82.61,-6299348.77,1,False,2,29,
90.96,0,4204.67,4,0.95,47.24,58.14,30573.99,63606.53,83.75,-6297388.25,1,False,2,29,
91.72,0,4174.88,4,0.94,46.81,56.68,31178.42,65073.03,84.88,-6295388.24,1,False,2,29,
92.48,0,4145.11,4,0.93,46.37,55.18,31790.28,66545.16,85.99,-6293346.18,1,False,2,29,
93.2,0,4115.35,4,0.92,45.92,53.61,32409.44,68022.13,87.09,-6291258.93,1,False,2,29,
94,0,4085.61,4,0.91,45.45,51.97,33035.76,69503.66,88.18,-6289123.63,1,False,2,29,
94.76,0,4055.88,4,0.9,44.96,50.31,33669.12,70987.62,89.25,-6286937.56,1,False,2,29,
95.52,0,4026.17,4,0.9,44.45,48.65,34309.37,72472.37,90.3,-6284698.32,1,False,2,29,
96.28,0,3996.48,4,0.89,43.93,46.99,34956.37,73955.83,91.34,-6282402.82,1,False,2,29,
97.04,0,3966.79,4,0.88,43.38,45.34,35609.94,75436.54,92.36,-6280048.51,1,False,2,29,
97.8,0,3937.13,4,0.87,42.83,43.7,36269.92,76912.32,93.35,-6277632.02,1,False,2,29,
98.56,0,3907.47,4,0.86,42.26,42.09,36936.13,78381.91,94.32,-6275150.57,1,False,2,29,
99.32,0,3877.83,4,0.86,41.68,40.51,37608.38,79843.49,95.28,-6272600.97,1,False,2,29,
100.08,0,3848.2,4,0.85,41.07,38.96,38286.49,81295.55,96.2,-6269980.59,1,False,2,29,
100.84,0,3818.59,4,0.84,40.44,37.45,38970.24,82734.83,97.1,-6267285.57,1,False,2,29,
101.56,0,3788.99,4,0.83,39.81,35.97,39659.42,84159.59,97.98,-6264512.78,1,False,2,29,
102.36,0,3759.4,4,0.83,39.16,34.54,40353.8,85568.84,98.82,-6261659.48,1,False,2,29,
103.08,0,3729.82,4,0.82,38.51,33.14,41053.18,86961.5,99.64,-6258722.86,1,False,2,29,
103.88,0,3700.25,4,0.81,37.86,31.78,41757.32,88336.7,100.44,-6255700.18,1,False,2,29,
104.64,0,3670.69,4,0.8,37.19,30.44,42466.01,89693.8,101.2,-6252588.79,1,False,2,29,
105.4,0,3641.15,4,0.8,36.53,29.14,43179.01,91032.41,101.94,-6249386.14,1,False,2,29,
106.16,0,3611.61,4,0.79,35.86,27.87,43896.12,92352.08,102.65,-6246089.61,1,False,2,29,
106.92,0,3582.09,4,0.78,35.2,26.65,44617.13,93653.33,103.33,-6242697.45,1,False,2,29,
107.68,0,3552.57,4,0.77,34.54,25.46,45341.83,94936.33,104,-6239207.77,1,False,2,29,
108.4,0,3523.07,4,0.77,33.89,24.31,46070.02,96201.55,104.63,-6235619.06,1,False,2,29,
109.2,0,3493.58,4,0.76,33.24,23.21,46801.51,97449.65,105.25,-6231930.11,1,False,2,29,
109.96,0,3464.1,4,0.75,32.61,22.16,47536.14,98681.49,105.85,-6228140,1,False,2,29,
110.72,0,3434.62,4,0.75,31.99,21.16,48273.72,99898.09,106.42,-6224248.23,1,False,2,29,
111.48,0,3405.16,4,0.74,31.39,20.2,49014.11,101100.6,106.98,-6220254.68,1,False,2,29,
112.24,0,3375.7,4,0.73,30.8,19.29,49757.16,102290.29,107.53,-6216159.45,1,False,2,29,
113,0,3346.26,4,0.73,30.23,18.42,50502.74,103468.26,108.06,-6211962.55,1,False,2,29,
113.76,0,3316.82,4,0.72,29.68,17.59,51250.72,104636.23,108.57,-6207664.47,1,False,2,29,
114.52,0,3287.39,4,0.71,29.15,16.76,52000.99,105795.8,109.08,-6203264.85,1,False,2,29,
115.28,0,3257.98,4,0.71,28.63,15.95,52753.47,106949.63,109.58,-6198762.31,1,False,2,29,
116.04,0,3228.57,4,0.7,28.13,15.18,53508.07,108098.63,110.07,-6194156.43,1,False,2,29,
116.76,0,3199.17,4,0.7,27.63,14.43,54264.73,109243.58,110.56,-6189446.72,1,False,2,29,
117.56,0,3169.77,4,0.69,27.15,13.71,55023.38,110385.32,111.05,-6184632.66,1,False,2,29,
118.28,0,3140.39,4,0.68,26.69,13.03,55783.96,111524.46,111.53,-6179713.81,1,False,2,29,
119.04,0,3111.01,4,0.68,26.23,12.38,56546.42,112661.49,112.01,-6174689.7,1,False,2,29,
119.84,0,3081.65,4,0.67,25.79,11.76,57310.7,113796.76,112.49,-6169559.9,1,False,2,29,
120.36,0,3063.83,4,0.67,25.5,11.35,57834.66,114571.63,112.81,-6165988.04,1,False,2,29,
121.08,0,3032.21,4,0.66,25.11,10.78,58601.93,115709.5,113.29,-6160682.36,1,False,2,29,
121.84,0,3002.86,4,0.66,24.67,10.25,59370.92,116844.13,113.76,-6155268.47,1,False,2,29,
122.6,0,2973.53,4,0.65,24.25,9.74,60141.58,117975.53,114.24,-6149746.59,1,False,2,29,
123.4,0,2944.2,4,0.64,23.85,9.27,60913.86,119104.52,114.71,-6144116.82,1,False,2,29,
124.16,0,2914.88,4,0.64,23.46,8.82,61687.7,120231.42,115.17,-6138379.01,1,False,2,29,
124.92,0,2885.57,4,0.63,23.07,8.4,62463.07,121356.36,115.64,-6132532.97,1,False,2,29,
125.68,0,2856.26,4,0.63,22.7,8,63239.9,122479.13,116.1,-6126578.3,1,False,2,29,
126.44,0,2826.97,4,0.62,22.33,7.62,64018.17,123599.52,116.57,-6120514.6,1,False,2,29,
127.2,0,2797.68,4,0.62,21.97,7.27,64797.8,124717.36,117.03,-6114341.38,1,False,2,29,
127.96,0,2768.4,4,0.61,21.61,6.93,65578.77,125832.48,117.49,-6108058.08,1,False,2,29,
128.72,0,2739.13,4,0.6,21.27,6.61,66361.01,126944.78,117.94,-6101664.02,1,False,2,29,
129.48,0,2709.86,4,0.6,20.92,6.3,67144.47,128054.24,118.4,-6095158.39,1,False,2,29,
130.24,0,2680.61,4,0.59,20.59,6,67929.12,129160.93,118.85,-6088540.18,1,False,2,29,
131,0,2651.36,4,0.59,20.26,5.72,68714.89,130264.79,119.3,-6081808.48,1,False,2,29,
131.76,0,2622.12,4,0.58,19.93,5.44,69501.75,131365.72,119.75,-6074962.43,1,False,2,29,
132.52,0,2592.88,4,0.58,19.61,5.18,70289.64,132463.6,120.19,-6068001.21,1,False,2,29,
133.28,0,2563.66,4,0.57,19.29,4.93,71078.51,133558.28,120.64,-6060924.03,1,False,2,29,
134.04,0,2534.44,4,0.57,18.98,4.7,71868.33,134649.6,121.08,-6053730.14,1,False,2,29,
134.8,0,2505.23,4,0.56,18.67,4.47,72659.02,135737.39,121.52,-6046418.82,1,False,2,29,
135.56,0,2476.03,4,0.56,18.37,4.26,73450.56,136821.46,121.96,-6038989.36,1,False,2,29,
136.28,0,2446.83,4,0.55,18.07,4.06,74242.87,137901.61,122.4,-6031441.1,1,False,2,29,
137.08,0,2417.65,4,0.55,17.77,3.87,75035.93,138977.64,122.84,-6023773.39,1,False,2,29,
137.84,0,2388.47,4,0.54,17.48,3.69,75829.66,140049.34,123.27,-6015985.61,1,False,2,29,
138.56,0,2359.29,4,0.54,17.19,3.54,76624.02,141115.95,123.7,-6008078.47,1,False,2,29,
139.32,0,2330.13,4,0.53,16.91,3.4,77418.95,142176.85,124.13,-6000052.35,1,False,2,29,
140.12,0,2300.97,4,0.53,16.63,3.26,78214.39,143232.04,124.55,-5991906.63,1,False,2,29,
140.88,0,2271.83,4,0.52,16.36,3.13,79010.28,144281.44,124.97,-5983640.6,1,False,2,29,
141.64,0,2242.68,4,0.52,16.09,3.01,79806.56,145324.95,125.39,-5975253.5,1,False,2,29,
142.4,0,2213.55,4,0.52,15.82,2.89,80603.18,146362.52,125.8,-5966744.53,1,False,2,29,
143.16,0,2184.42,4,0.51,15.56,2.78,81400.07,147394.1,126.21,-5958112.81,1,False,2,29,
143.92,0,2155.31,4,0.51,15.3,2.67,82197.19,148419.69,126.62,-5949357.36,1,False,2,29,
144.64,0,2126.19,4,0.5,15.04,2.57,82994.46,149438.99,127.02,-5940478.04,1,False,2,29,
145.44,0,2097.09,4,0.5,14.79,2.48,83791.84,150451.62,127.42,-5931475.02,1,False,2,29,
146.2,0,2067.99,4,0.49,14.54,2.39,84589.25,151457.82,127.82,-5922346.94,1,False,2,29,
146.96,0,2038.91,4,0.49,14.29,2.3,85386.66,152457.79,128.21,-5913092.43,1,False,2,29,
147.72,0,2009.83,4,0.48,14.05,2.21,86183.99,153451.55,128.61,-5903710.27,1,False,2,29,
148.48,0,1980.75,4,0.48,13.81,2.12,86981.21,154439.18,128.99,-5894199.25,1,False,2,29,
149.24,0,1951.69,4,0.48,13.57,2.03,87778.24,155420.71,129.38,-5884558.16,1,False,2,29,
150,0,1922.63,4,0.47,13.33,1.95,88575.04,156396.18,129.76,-5874785.78,1,False,2,29,
150.76,0,1893.58,4,0.47,13.1,1.87,89371.56,157365.63,130.15,-5864880.88,1,False,2,29,
151.52,0,1864.53,4,0.46,12.86,1.8,90167.74,158329.11,130.53,-5854842.25,1,False,2,29,
152.28,0,1835.5,4,0.46,12.63,1.72,90963.53,159286.63,130.9,-5844668.65,1,False,2,29,
153.04,0,1806.47,4,0.46,12.41,1.65,91758.89,160238.23,131.28,-5834358.87,1,False,2,29,
153.8,0,1777.45,4,0.45,12.18,1.58,92553.76,161183.92,131.65,-5823911.65,1,False,2,29,
154.56,0,1748.43,4,0.45,11.96,1.51,93348.09,162123.73,132.02,-5813325.73,1,False,2,29,
155.32,0,1719.43,4,0.44,11.74,1.45,94141.83,163057.69,132.39,-5802599.86,1,False,2,29,
156.08,0,1690.43,4,0.44,11.53,1.39,94934.94,163985.82,132.76,-5791732.73,1,False,2,29,
156.84,0,1661.43,4,0.44,11.31,1.33,95727.37,164908.18,133.13,-5780722.89,1,False,2,29,
157.6,0,1632.45,4,0.43,11.1,1.27,96519.07,165824.8,133.5,-5769568.95,1,False,2,29,
158.36,0,1603.47,4,0.43,10.89,1.22,97309.99,166735.71,133.86,-5758269.57,1,False,2,29,
159.12,0,1574.5,4,0.42,10.68,1.16,98100.09,167640.95,134.23,-5746823.41,1,False,2,29,
159.88,0,1545.54,4,0.42,10.48,1.11,98889.33,168540.55,134.59,-5735229.16,1,False,2,29,
160.64,0,1516.59,4,0.42,10.27,1.06,99677.65,169434.57,134.96,-5723485.48,1,False,2,29,
161.4,0,1487.64,4,0.41,10.07,1.01,100465.01,170323.03,135.32,-5711591.04,1,False,2,29,
162.16,0,1458.7,4,0.41,9.87,0.96,101251.38,171205.95,135.68,-5699544.55,1,False,2,29,
162.92,0,1429.76,4,0.41,9.68,0.92,102036.7,172083.36,136.04,-5687344.68,1,False,2,29,
163.68,0,1400.84,4,0.4,9.48,0.88,102820.94,172955.29,136.41,-5674990.18,1,False,2,29,
164.44,0,1371.92,4,0.4,9.29,0.83,103604.05,173821.74,136.77,-5662479.84,1,False,2,29,
165.2,0,1343.01,4,0.4,9.1,0.79,104385.99,174682.64,137.13,-5649812.38,1,False,2,29,
165.96,0,1314.1,4,0.39,8.91,0.76,105166.71,175538.09,137.49,-5636986.63,1,False,2,29,
166.72,0,1285.2,4,0.39,8.72,0.72,105946.18,176388.02,137.85,-5624001.25,1,False,2,29,
167.48,0,1256.31,4,0.39,8.54,0.68,106724.36,177232.6,138.22,-5610855.01,1,False,2,29,
168.24,0,1227.43,4,0.38,8.35,0.65,107501.2,178071.77,138.58,-5597546.55,1,False,2,29,
169,0,1198.55,4,0.38,8.17,0.62,108276.67,178905.63,138.94,-5584074.51,1,False,2,29,
169.76,0,1169.68,4,0.38,7.99,0.59,109050.73,179734.2,139.3,-5570437.49,1,False,2,29,
170.52,0,1140.82,4,0.37,7.82,0.56,109823.33,180557.47,139.67,-5556634.05,1,False,2,29,
171.28,0,1111.97,4,0.37,7.64,0.53,110594.44,181375.44,140.03,-5542662.66,1,False,2,29,
172.04,0,1083.12,4,0.37,7.47,0.51,111364.02,182188.15,140.4,-5528521.82,1,False,2,29,
172.8,0,1054.28,4,0.36,7.3,0.48,112132.04,182995.73,140.77,-5514209.97,1,False,2,29,
173.56,0,1025.44,4,0.36,7.12,0.46,112898.45,183798.11,141.14,-5499725.43,1,False,2,29,
174.32,0,996.62,4,0.36,6.96,0.43,113663.22,184595.38,141.51,-5485066.5,1,False,2,29,
175.08,0,967.8,4,0.35,6.79,0.41,114426.31,185387.68,141.88,-5470231.46,1,False,2,29,
175.84,0,938.98,4,0.35,6.62,0.39,115187.69,186174.92,142.25,-5455218.52,1,False,2,29,
176.6,0,910.18,4,0.35,6.46,0.37,115947.32,186957.33,142.62,-5440025.71,1,False,2,29,
177.36,0,881.38,4,0.34,6.3,0.35,116705.18,187735.04,143,-5424651.06,1,False,2,29,
178.12,0,852.59,4,0.34,6.14,0.33,117461.21,188507.99,143.38,-5409092.63,1,False,2,29,
178.88,0,823.8,4,0.34,5.98,0.31,118215.4,189276.32,143.76,-5393348.55,1,False,2,29,
179.6,0,795.02,4,0.34,5.82,0.29,118967.7,190040.04,144.15,-5377416.94,1,False,2,29,
180.52,0,760.58,4,0.33,5.64,0.27,119836.4,190918.57,144.59,-5358733.03,1,False,2,29,
181.28,0,732.95,4,0.33,5.49,0.25,120584.54,191673.21,144.99,-5342390.65,1,False,2,29,
182.04,0,704.19,4,0.33,5.34,0.24,121330.69,192422.99,145.38,-5325854.69,1,False,2,29,
182.8,0,675.44,4,0.32,5.18,0.22,122074.84,193168.06,145.78,-5309123.37,1,False,2,29,
183.52,0,646.69,4,0.32,5.08,0.21,122816.95,193907.35,146.18,-5292194.21,1,False,2,29,
184.32,0,617.96,4,0.32,5.05,0.2,123557.03,194650.73,146.59,-5275068.63,1,False,2,29,
185.08,0,589.23,4,0.32,5.04,0.18,124295.08,195400.25,147.01,-5257745.27,1,False,2,29,
185.84,0,560.5,4,0.31,5.03,0.17,125031.12,196156.23,147.45,-5240222.6,1,False,2,29,
186.6,0,531.79,4,0.31,5.03,0.16,125765.16,196919.2,147.91,-5222499.09,1,False,2,29,
187.36,0,503.08,4,0.31,5.03,0.15,126497.24,197689.34,148.38,-5204572.81,1,False,2,29,
